surface,count,mean,median
Clay,1782,1.079810062425439,0.9248368740081787
Grass,628,1.0984085048222618,0.9009344577789307
Hard,3238,1.06397634956277,0.8978955745697021
,50,2.3128004932403563,2.1257948875427246
