k,silhouette
2,0.1526651510257806
3,0.1502548422155189
4,0.1299322695189455
5,0.1381073371869738
6,0.13294181171219976
7,0.12920666794676955
8,0.12839728974762848
9,0.1329108582535629
10,0.13091150091660625
